1440;Baden;Was hast du 1440 in Baden gemacht?;Er gibt dem Johann Elrichshauser, Pfarrer zu St. Georgen im Attergau, einen Caplanatsbrief.
1440;Basileae;Was hast du 1440 in Basileae gemacht?;Das Concilium zu Basel gestattet dem Römischen Könige Friedrich und s. Bruder Herzog Albrecht, sich einen Beichtvater wählen zu dürfen (cum potestate absolvendi ab omnibus casibus reservatis).
1440;Bruck;Was hast du 1440 in Bruck gemacht?;Die Stadt Bruck an der Leitha gibt dem K. Friedrich, als Vormund K. Ladislaus, einen Huldigungs-Revers.
1440;Frankfurt;Was hast du 1440 in Frankfurt gemacht?;Decret der Churfürsten an Herzog Friedrich von Oesterreich, dass sie Ihn einmüthig am Dinstag Purificationis Mariae zum Römischen Könige erwählt haben.
1440;Haimburg;Was hast du 1440 in Haimburg gemacht?;Er macht den Johann Hagen, Clericus der Freysinger Diöcese, zum Notarius publicus.
1440;Hainburg;Was hast du 1440 in Hainburg gemacht?;Er überläßt den Bürgern von Freistadt ab weichnachten schieristkunfftigen für zwei Jahre das Stadtgericht und das Ungeld mit allen zugehörigen Rechten gegen jährlich 440 Pfd.
1440;Neustadt;Was hast du 1440 in Neustadt gemacht?;Primariae preces ad Hospitale in Ueberling pro Cunrado Mader, Laico.
1440;Raab;Was hast du 1440 in Raab gemacht?;K. Elisabeth (K. Albrechts II. Witwe) schliesst für sich u. K. Ladislaus einen Vertrag mit Herzog Albrecht von Oesterreich wider Jedermann, den Papst u. Kirche und das H. Römische Reich ausgenommen.
1440;Reichersberg;Was hast du 1440 in Reichersberg gemacht?;Propst Paul von Reichersberg und der Convent daselbst geben dem K. Friedrich mehrere Zehente auf 2 Jahre in Bestand für 140 Pfund Pfenning.
1440;Viennae;Was hast du 1440 in Viennae gemacht?;Er ladet den König Carl von Frankreich ein, zum nächsten Reichsstage in Mainz (am 2. Febr. 1441) Gesandte abzusenden, welche zur Herstellung der Kircheneinheit helfen sollen.
1440;Wien;Was hast du 1440 in Wien gemacht?;Spruchbrief von Jörg von Puchaim über die Irrungen zwischen dem Röm. König Friedrich und Hrn.
1440;Wiener Neustadt;Was hast du 1440 in Wiener Neustadt gemacht?;Er belehnt Konrad Endorfer d. J. und Jörg Spleiss, Bürger von Kaufbeuren, mit einer Mühle zu Kaufbeuren.
1441;Graz;Was hast du 1441 in Graz gemacht?;Er verlängert den zuletzt bis auf sannd Michels tag schirstkunftigen (1441 September 29) vereinbarten Frieden mit den Gff. Friedrich (II.) und Ulrich (II.) von CilliVgl. n. 51.
1441;Grätz;Was hast du 1441 in Grätz gemacht?;Er übergibt dem Niclas Pogenwirth, s. Hofschreiber zu Aussee, pflegweis das Salzsieden am Hallamt zu Aussee, das er binnen Jahresfrist von weil.
